	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	FullBody_AngMom	FullBody_AngMom	FullBody_AngMom
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																															
2	0.00017	0.00003	0.00019	0.00762	-0.00010	0.00937	0.02732	-0.01435	0.01543	0.00179	-0.00182	-0.00009	0.00285	-0.00095	0.00070	-0.00058	0.00016	0.00024	-0.00164	0.00063	-0.00072	-0.00081	-0.00139	0.00018	0.00025	0.00030	0.00072	0.00212	0.00202	0.00018	-0.00282	0.01146	-0.00293	0.00077	0.00008	-0.00029	-0.00012	0.00020	-0.00064	-0.00012	0.00020	-0.00064	0.00000	0.00000	-0.00000	0.00150	-0.00068	0.00068	0.00229	0.00104	0.00015	-0.00055	0.00030	-0.00050	-0.00055	0.00030	-0.00050	-0.00000	0.00000	-0.00000			
3	0.00017	-0.00005	0.00012	0.00798	-0.00340	0.00592	0.05416	-0.04981	-0.00339	0.00313	-0.00180	0.00051	0.00270	-0.00071	0.00031	-0.00022	0.00044	0.00024	-0.00276	-0.00098	0.00105	-0.00020	-0.00107	0.00001	-0.00063	0.00036	0.00032	0.00051	-0.00020	0.00220	-0.02100	0.01294	0.01940	0.00372	0.00093	0.00236	0.00033	-0.00064	-0.00002	0.00033	-0.00064	-0.00002	-0.00000	-0.00000	0.00000	0.00739	-0.00030	-0.01950	0.00151	0.00275	-0.00222	-0.00040	-0.00056	0.00079	-0.00040	-0.00056	0.00079	-0.00001	-0.00001	0.00000	0.34042	-0.23845	0.11404
4	0.00014	-0.00014	0.00002	0.00751	-0.00697	0.00099	0.05888	-0.07801	-0.00040	0.00294	-0.00217	0.00102	0.00211	-0.00044	-0.00014	0.00053	0.00069	0.00035	-0.00290	-0.00307	0.00182	-0.00018	-0.00027	-0.00030	-0.00088	0.00036	-0.00004	-0.00177	-0.00179	0.00290	-0.02980	0.00538	0.03605	0.00501	0.00209	0.00406	0.00045	-0.00094	0.00058	0.00045	-0.00094	0.00058	-0.00001	-0.00000	0.00000	0.00346	0.00342	-0.03246	0.00062	0.00302	-0.00391	-0.00019	-0.00131	0.00180	-0.00019	-0.00131	0.00180	-0.00002	-0.00002	0.00000	0.13128	-0.22810	0.12590
5	0.00011	-0.00021	-0.00004	0.00623	-0.00961	-0.00180	0.08103	-0.07599	0.00658	0.00213	-0.00236	0.00126	0.00203	-0.00019	-0.00010	0.00101	0.00073	0.00049	-0.00246	-0.00341	0.00172	-0.00057	0.00021	0.00015	-0.00066	0.00008	0.00003	-0.00275	-0.00287	0.00162	-0.02153	-0.00216	0.03846	0.00275	0.00225	0.00443	0.00019	-0.00045	0.00077	0.00019	-0.00045	0.00077	-0.00001	0.00000	0.00000	-0.00209	0.01074	-0.02931	-0.00121	0.00088	-0.00393	0.00018	-0.00131	0.00175	0.00018	-0.00131	0.00175	-0.00002	-0.00002	0.00000	-0.01811	-0.09004	0.12960
6	0.00005	-0.00021	-0.00003	0.00358	-0.00940	-0.00119	0.11456	-0.05327	-0.00244	0.00207	-0.00226	0.00158	0.00266	-0.00005	0.00067	0.00100	0.00043	0.00064	-0.00186	-0.00234	0.00130	-0.00098	0.00014	0.00116	-0.00039	-0.00027	0.00046	-0.00179	-0.00386	-0.00076	-0.00366	-0.00105	0.02425	-0.00127	0.00063	0.00339	-0.00024	0.00038	0.00056	-0.00024	0.00038	0.00056	-0.00000	0.00000	0.00000	-0.00020	0.01557	-0.01032	-0.00355	-0.00181	-0.00201	0.00059	-0.00051	0.00048	0.00059	-0.00051	0.00048	-0.00001	-0.00001	0.00000	0.03214	0.02254	0.10775
